Photon Energy [eV]	Sample Current [A]_000	Mesh Current [A]_000	Sample/Mesh [adim.]_000	Reference Current [A]_000	Sample Current [A]_001	Mesh Current [A]_001	Sample/Mesh [adim.]_001	Reference Current [A]_001	Sample Current [A]_002	Mesh Current [A]_002	Sample/Mesh [adim.]_002	Reference Current [A]_002	Sample Current [A]_SUM	Mesh Current [A]_SUM	Sample/Mesh [adim.]_SUM	Reference Current [A]_SUM
716.700000	2.686899E-12	3.474612E-13	7.732949	5.704973E-12	-2.332888E-12	3.073983E-13	-7.589136	-2.171762E-12	4.378552E-13	3.119931E-13	1.403413	2.771827E-12	7.918670E-13	9.668525E-13	1.547226	6.305039E-12
716.800000	-2.165515E-12	2.889442E-13	-7.494581	-1.569031E-12	1.401880E-12	3.391699E-13	4.133267	3.793639E-12	-4.686876E-13	3.452579E-13	-1.357500	8.689390E-13	-1.232323E-12	9.733720E-13	-4.718815	3.093547E-12
716.900000	-9.182329E-14	3.176525E-13	-0.289068	1.122776E-12	-3.326427E-12	3.453443E-13	-9.632205	-3.792496E-12	-2.479145E-13	3.500503E-13	-0.708225	6.822730E-13	-3.666165E-12	1.013047E-12	-10.629498	-1.987446E-12
717.000000	2.290172E-12	3.560559E-13	6.432057	4.673517E-12	-2.859042E-12	3.045265E-13	-9.388484	-3.795903E-12	1.715458E-12	3.517005E-13	4.877611	3.824890E-12	1.146588E-12	1.012283E-12	1.921184	4.702504E-12
717.100000	-3.419646E-12	3.230448E-13	-10.585672	-4.527369E-12	-4.901404E-12	3.398233E-13	-14.423391	-6.683058E-12	-1.147546E-13	3.583317E-13	-0.320247	8.427048E-13	-8.435804E-12	1.021200E-12	-25.329309	-1.036772E-11
717.200000	-3.870823E-13	3.232001E-13	-1.197655	8.600194E-13	-4.232336E-12	3.320768E-13	-12.745050	-5.342771E-12	-2.845892E-12	3.435346E-13	-8.284151	-2.976524E-12	-7.465310E-12	9.988115E-13	-22.226857	-7.459276E-12
717.300000	-1.633229E-12	3.482468E-13	-4.689860	-6.635337E-13	-2.100508E-12	3.394292E-13	-6.188354	-2.371642E-12	-2.918964E-12	3.351276E-13	-8.710009	-3.227135E-12	-6.652701E-12	1.022804E-12	-19.588223	-6.262311E-12
717.400000	1.367917E-12	3.302630E-13	4.141904	4.319340E-12	3.674979E-12	3.259523E-13	11.274593	6.657459E-12	-4.058525E-12	3.289425E-13	-12.338101	-4.847592E-12	9.843711E-13	9.851577E-13	3.078396	6.129208E-12
717.500000	-8.010221E-13	3.499697E-13	-2.288832	7.380605E-14	4.147708E-12	3.271603E-13	12.677907	7.592234E-12	-1.089311E-12	3.607938E-13	-3.019206	-2.654427E-13	2.257375E-12	1.037924E-12	7.369869	7.400598E-12
717.600000	4.090295E-13	3.286730E-13	1.244487	8.210698E-13	2.360996E-13	3.029718E-13	0.779279	1.520039E-12	-3.460706E-12	3.384325E-13	-10.225691	-4.072544E-12	-2.815577E-12	9.700773E-13	-8.201924	-1.731435E-12
717.700000	-2.272021E-12	3.391831E-13	-6.698510	-1.580721E-12	-2.400480E-12	3.395726E-13	-7.069121	-2.565673E-12	-2.083662E-12	3.213400E-13	-6.484290	-1.729941E-12	-6.756163E-12	1.000096E-12	-20.251920	-5.876335E-12
717.800000	1.323266E-13	3.174365E-13	0.416860	1.456854E-12	6.764626E-17	3.291740E-13	0.000206	1.799988E-12	2.176048E-12	3.320535E-13	6.553306	4.906295E-12	2.308442E-12	9.786640E-13	6.970371	8.163136E-12
717.900000	-1.162304E-12	3.421046E-13	-3.397510	-3.734897E-13	9.909241E-13	3.451622E-13	2.870894	3.345485E-12	-1.566173E-13	3.415281E-13	-0.458578	3.833180E-13	-3.279970E-13	1.028795E-12	-0.985193	3.355313E-12
718.000000	-1.148430E-12	3.190944E-13	-3.599029	-2.512405E-13	-2.565344E-13	3.488965E-13	-0.735274	8.171364E-13	-2.818841E-12	3.475863E-13	-8.109758	-3.741804E-12	-4.223805E-12	1.015577E-12	-12.444061	-3.175909E-12
718.100000	1.082817E-12	3.142436E-13	3.445788	3.074212E-12	1.307114E-12	3.551140E-13	3.680828	3.242124E-12	3.116449E-14	3.421134E-13	0.091094	1.202067E-12	2.421095E-12	1.011471E-12	7.217711	7.518403E-12
718.200000	-9.147710E-13	3.332383E-13	-2.745095	-1.986667E-13	6.030286E-13	3.450692E-13	1.747558	2.459092E-12	-3.633361E-12	3.392521E-13	-10.709912	-3.736656E-12	-3.945103E-12	1.017560E-12	-11.707449	-1.476230E-12
718.300000	-3.181108E-12	3.391792E-13	-9.378842	-3.093176E-12	4.198357E-12	3.114364E-13	13.480624	7.989497E-12	-1.257444E-12	3.436421E-13	-3.659168	-4.925568E-13	-2.401949E-13	9.942576E-13	0.442614	4.403764E-12
718.400000	-5.370671E-13	3.445105E-13	-1.558928	1.335441E-12	-2.850634E-12	3.482018E-13	-8.186728	-3.147718E-12	-3.510391E-12	3.347260E-13	-10.487357	-3.755699E-12	-6.898091E-12	1.027438E-12	-20.233013	-5.567976E-12
718.500000	1.271606E-12	3.322368E-13	3.827408	3.614860E-12	-2.581045E-12	3.085142E-13	-8.366050	-2.810461E-12	-8.347592E-13	3.267322E-13	-2.554873	4.443541E-13	-2.144198E-12	9.674832E-13	-7.093514	1.248753E-12
718.600000	-8.330633E-13	3.386608E-13	-2.459875	-5.016940E-13	-3.100986E-12	3.184650E-13	-9.737289	-3.566953E-12	1.341152E-14	3.850886E-13	0.034827	1.565648E-12	-3.920638E-12	1.042214E-12	-12.162337	-2.502999E-12
